sku,Barcode,name,qty
PROF-AMAN-009A,2704872311011504,AmanBayiku Sliding Door & Window Lock,66
PROF-AMAN-010A,2704872311011505,AmanBayiku Pack-Top Bottom Door Stop (Isi 3),28
PROF-AMAN-011A,2704872311011506,AmanBayiku Double Angle Lock Guard,30
BOTT-PUKU-004A,2704872311002322,Puku Silicone Nipple Dot L (Isi 2),2
BOTT-PUKU-004B,2704872311002323,Puku Silicone Nipple Dot S (Isi 2),4
BOTT-PUKU-005A,2704872311002324,Puku Silicone Nipple Wide Neck (Isi 2),6
PACI-PUKU-001A,2704872311010647,Puku Baby Pacifier Orthodontic S Blue,2
PACI-PUKU-001B,2704872311010648,Puku Baby Pacifier Orthodontic S Pink,8
PACI-PUKU-001C,2704872311010649,Puku Baby Pacifier Orthodontic L Blue,8
PACI-PUKU-001D,2704872311010650,Puku Baby Pacifier Orthodontic L Pink,2
BOTT-PUKU-006A,2704872311002325,Puku Bottle & Nipple Brush,6
BOTT-PUKU-008A,2704872311002326,Puku Milk Powder Container 100ml,34
PACI-PUKU-002A,2704872311010651,Puku Pacifier Clipper Blue,0
FEED-PUKU-001A,2704872311008589,Puku Food Maker,0
FEED-PUKU-002A,2704872311008590,Puku Cereal Bowl With Cover Blue,0
FEED-PUKU-002B,2704872311008591,Puku Cereal Bowl With Cover  red,4
FEED-PUKU-003A,2704872311008592,Puku Silicone Spoon (Isi 3),0
FEED-PUKU-004A,2704872311008593,Puku Child Tableware Set Biru,2
FEED-PUKU-004B,2704872311008594,Puku Child Tableware Set Pink,6
FEED-PUKU-005A,2704872311008595,Puku Tableware Set,8
BOTT-PUKU-009A,2704872311002327,Puku PC Non-Spill Safety Training Cup,2
OTHE-PUKU-001A,2704872311010365,Puku Bath Tub Large Yellow,0
OTHE-PUKU-001B,2704872311010366,Puku Bath Tub Large Blue,0
TOIL-PUKU-001A,2704872311013740,Puku Tooth Brush Duck Blue,0
TOIL-PUKU-001B,2704872311013741,Puku Tooth Brush Motif Penguin,6
TOIL-PUKU-002A,2704872311013743,Puku Tooth Brush Blue,2
TOIL-PUKU-002B,2704872311013744,Puku Tooth Brush Pink,10
SEAT-PUKU-001A,2704872311011896,Puku Fantastic Table & 2 Chair,2
POTT-PUKU-001A,2704872311011486,Puku Baby Potty Blue,0
POTT-PUKU-001B,2704872311011487,Puku Baby Potty Pink,0
FEED-PUKU-006A,2704872311008596,Puku Bowl Big & Small Blue (Isi 2),2
FEED-PUKU-006B,2704872311008597,Puku Bowl Big & Small Pink (Isi 2),0
BOTT-PUKU-010A,2704872311002328,Puku Water Bottle Straw Blue,0
BOTT-PUKU-010B,2704872311002329,Puku Water Bottle Straw Green,2
BOTT-PUKU-010C,2704872311002330,Puku Water Bottle Straw Orange,0
BACK-BROW-002B,2704872311000320,Dr. Brown's Divided Plates Red & Yellow (Isi 2),4
BACK-BROW-002C,2704872311000321,Dr. Brown's Divided Plates Purple & Green (Isi 2),4
BAG0-PIGE-001A,2704872311000661,Pigeon Breast Milk Cooler bag,2
GIFT-NANE-003A,2704872311009247,Nannette Clothing Set Motif My Cute Bear,0
GIFT-NANE-003B,2704872311009248,Nannette Clothing Set Motif Pink Polkadot,0
GIFT-NANE-003C,2704872311009249,Nannette Clothing Set Motif Pink Flower Garden,0
GIFT-NANE-003D,2704872311009250,Nannette Clothing Set Motif Pink Duck,0
GIFT-NANE-003E,2704872311009251,Nannette Clothing Set Motif Blue Cars,0
GIFT-NANE-003F,2704872311009252,Nannette Clothing Set Motif Brown Elephant,0
GIFT-NANE-003G,2704872311009253,Nannette Clothing Set Motif Blue Elephant,0
GIFT-NANE-003H,2704872311009254,Nannette Clothing Set Motif Blue Aeroplane,0
GIFT-NANE-003I,2704872311009255,Nannette Clothing Set Motif Giraffe and Friends,0
GIFT-NANE-003J,2704872311009256,Nannette Clothing Set Motif Pink Elephant,0
GIFT-NANE-003K,2704872311009257,Nannette Clothing Set Motif Blue Giraffe,0
GIFT-NANE-003L,2704872311009258,Nannette Clothing Set Motif Pink Deer,0
GIFT-NANE-003M,2704872311009259,Nannette Clothing Set Motif Yellow Cow,0
GIFT-NANE-003N,2704872311009260,Nannette Clothing Set Motif Pink Flower Party,0
BOTT-LITT-012C,2704872311002064,Little Baby Bottle & Nipple Brush Pink (Isi 3),0
BALU-SKIP-029A,2704872311000788,Skiphop Zoo Luggage Dog,0
BALU-SKIP-029B,2704872311000789,Skiphop Zoo Luggage Monkey,0
BALU-SKIP-029C,2704872311000790,Skiphop Zoo Luggage Owl,0
BALU-SKIP-029D,2704872311000791,Skiphop Zoo Luggage Bee,0
BALU-SKIP-029E,2704872311000792,Skiphop Zoo Luggage Ladybug,0
COAT-KEIA-001A,2704872311007522,KeiandMom Kids Rain Coat Red Strawberry ,16
COAT-KEIA-001B,2704872311007523,KeiandMom Kids Rain Coat Blue Car,4
COAT-KEIA-001C,2704872311007524,KeiandMom Kids Rain Coat Yellow Duck,-2
COAT-KEIA-001D,2704872311007525,KeiandMom Kids Rain Coat Pink Bunny,20
COAT-KEIA-001E,2704872311007526,KeiandMom Kids Rain Coat Green Frog,0
PROF-KEIA-001A,2704872311011555,KeiandMom Baby Safety Multifungsi,0
PROF-KEIA-002A,2704872311011556,KeiandMom Baby Safety Sudut Meja,24
PROF-KEIA-003A,2704872311011557,KeiandMom Baby Safety Lemari,14
PROF-KEIA-004A,2704872311011558,KeiandMom Baby Safety Laci,34
PROF-KEIA-005A,2704872311011559,KeiandMom Baby Safety Colokan Listrik,0
PROF-KEIA-006A,2704872311011560,KeiandMom Baby Safety Set Lady Bug,40
BAG0-SKIP-004A,2704872311000697,Skiphop Bento Ultimate Diaper Bag Black,0
BAG0-SKIP-004B,2704872311000698,Skiphop Bento Ultimate Diaper Bag Golden,0
BAG0-SKIP-004C,2704872311000699,Skiphop Bento Ultimate Diaper Bag Olive,0
BACK-BROW-003B,2704872311000323,Dr. Brown's Feeding Bowls Red & Yellow (Isi 2),4
BACK-BROW-004B,2704872311000327,Dr. Brown's Spatula Spoons 6m+ Orange & Purple (Isi 2),4
BACK-BROW-005B,2704872311000329,Dr. Brown's Spatula Spoons 6m+ Orange & Purple (Isi 4),0
SEAT-GRAC-002A,2704872311011869,Graco Pixie High Chair Tea Time,0
OTHE-GRAC-003A,2704872311010287,Graco Pack 'n Play Little Hoot,0
OTHE-PARA-001M,2704872311010355,Para'Kito™ Special Design Wristband Red & White ,0
BAG0-SKIP-005A,2704872311000700,Skiphop Duo Double Deluxe Charcoal,0
BAG0-SKIP-005B,2704872311000701,Skiphop Duo Double Deluxe Uptown Stripe,0
BAG0-SKIP-006A,2704872311000702,Skiphop City Chic West Side Wave Red,0
BAG0-SKIP-006B,2704872311000703,Skiphop City Chic Tulip Pink,0
BAG0-SKIP-006C,2704872311000704,Skiphop City Chic Black Circle,0
PILL-VOUS-001A,2704872311011463,Pourvous Handmade Dream Aromatic Pillow,0
WARM-BAMB-001A,2704872311015280,Bambinoz Individual Gel Pad,0
WARM-BAMB-002A,2704872311015281,Bambinoz Bottle Warmer Pack,0
WIPE-REEC-001A,2704872311015337,Jackson Reece Herbal Baby Wipes 72's,0
WIPE-REEC-001B,2704872311015338,Jackson Reece Unscented Baby Wipes 72's,0
TOIL-JACK-002A,2704872311013647,Jack n' Jill Toothbrush Bunny,24
TOIL-JACK-002B,2704872311013648,Jack n' Jill Toothbrush Hippo,24
TOIL-JACK-003A,2704872311013649,Jack n' Jill Fingerbrush,4
POTT-POUR-001A,2704872311011482,Pourty Potty Blue,0
POTT-POUR-001B,2704872311011483,Pourty Potty Pink,4
